title,year,numPages,DOI
AndroidCompass: A Dataset of Android Compatibility Checks in Code Repositories.,2021,5,10.1109/MSR52588.2021.00069
What is the Vocabulary of Flaky Tests?,2020,11,10.1145/3379597.3387482
Towards building a universal defect prediction model.,2014,10,10.1145/2597073.2597078
Dependency versioning in the wild.,2019,11,10.1109/MSR.2019.00061
Analyzing requirements and traceability information to improve bug localization.,2018,12,10.1145/3196398.3196415
Cold-start software analytics.,2016,12,10.1145/2901739.2901740
Recognizing gender of stack overflow users.,2016,5,10.1145/2901739.2901777
Painting Flowers: Reasons for Using Single-State State Machines in Model-Driven Engineering.,2020,12,10.1145/3379597.3387452
Mining Component Repositories for Installability Issues.,2015,10,10.1109/MSR.2015.10
Challenges in Chatbot Development: A Study of Stack Overflow Posts.,2020,12,10.1145/3379597.3387472
BotHunter: An Approach to Detect Software Bots in GitHub.,2022,12,10.1145/3524842.3527959
pyMethods2Test: A Dataset of Python Tests Mapped to Focal Methods.,2025,5,10.1109/MSR66628.2025.00123
DATAR: A Dataset for Tracking App Releases.,2024,5,10.1145/3643991.3644892
RepoChat: An LLM-Powered Chatbot for GitHub Repository Question-Answering.,2025,5,10.1109/MSR66628.2025.00045
Multi-language Design Smells: A Backstage Perspective.,2020,4,10.1145/3379597.3387508
Can duplicate questions on stack overflow benefit the software development community?,2019,5,10.1109/MSR.2019.00046
On Codex Prompt Engineering for OCL Generation: An Empirical Study.,2023,10,10.1109/MSR59073.2023.00033
Analyzing conflict predictors in open-source Java projects.,2018,11,10.1145/3196398.3196437
SPRINT: An Assistant for Issue Report Management.,2025,5,10.1109/MSR66628.2025.00025
A study on the use of IDE features for debugging.,2018,4,10.1145/3196398.3196468
Co-evolution of project documentation and popularity within github.,2014,4,10.1145/2597073.2597120
Mining duplicate questions in stack overflow.,2016,11,10.1145/2901739.2901770
Snoring: a noise in defect prediction datasets.,2019,5,10.1109/MSR.2019.00019
Impact of stack overflow code snippets on software cohesion: a preliminary study.,2019,5,10.1109/MSR.2019.00050
Inter-app communication in Android: developer challenges.,2016,12,10.1145/2901739.2901762
Studying the effectiveness of application performance management (APM) tools for detecting performance regressions for web applications: an experience report.,2016,12,10.1145/2901739.2901774
Can LLMs Replace Manual Annotation of Software Engineering Artifacts?,2025,13,10.1109/MSR66628.2025.00086
SMATCH-M-LLM: Semantic Similarity in Metamodel Matching With Large Language Models.,2025,12,10.1109/MSR66628.2025.00040
An Empirical Study of the Copy and Paste Behavior during Development.,2015,12,10.1109/MSR.2015.17
Inferring Questions from Programming Screenshots.,2025,6,10.1109/MSR66628.2025.00111
An Empirical Study on the Survival Rate of GitHub Projects.,2022,11,10.1145/3524842.3527941
"A dataset of scratch programs: scraped, shaped and scored.",2017,4,10.1109/MSR.2017.45
SCOR: source code retrieval with semantics and order.,2019,12,10.1109/MSR.2019.00012
A Large-Scale Comparative Evaluation of IR-Based Tools for Bug Localization.,2020,11,10.1145/3379597.3387474
Tracing dynamic features in python programs.,2014,4,10.1145/2597073.2597103
A preliminary investigation of using age and distance measures in the detection of evolutionary couplings.,2013,4,10.1109/MSR.2013.6624024
An Empirical Study of Developer Discussions on Low-Code Software Development Challenges.,2021,12,10.1109/MSR52588.2021.00018
Mining Energy-Related Practices in Robotics Software.,2021,12,10.1109/MSR52588.2021.00060
AndroZoo: A Retrospective with a Glimpse into the Future.,2024,5,10.1145/3643991.3644863
On the Use of Dependabot Security Pull Requests.,2021,12,10.1109/MSR52588.2021.00037
Characterising the Knowledge about Primitive Variables in Java Code Comments.,2021,11,10.1109/MSR52588.2021.00058
Cheating Death: A Statistical Survival Analysis of Publicly Available Python Projects.,2020,5,10.1145/3379597.3387511
A contextual approach towards more accurate duplicate bug report detection.,2013,10,10.1109/MSR.2013.6624026
Language Models in Software Development Tasks: An Experimental Analysis of Energy and Accuracy.,2025,12,10.1109/MSR66628.2025.00109
Rationale in development chat messages: an exploratory study.,2017,11,10.1109/MSR.2017.43
"Why, when, and what: analyzing stack overflow questions by topic, type, and code.",2013,4,10.1109/MSR.2013.6624004
Mining source code repositories at massive scale using language modeling.,2013,10,10.1109/MSR.2013.6624029
AndroZoo: collecting millions of Android apps for the research community.,2016,4,10.1145/2901739.2903508
Studying the Impact of Continuous Delivery Adoption on Bug-Fixing Time in Apache's Open-Source Projects.,2022,5,10.1145/3524842.3528049
State of Refactoring Adoption: Better Understanding Developer Perception of Refactoring.,2023,5,10.1109/MSR59073.2023.00090
Code Review Practices for Refactoring Changes: An Empirical Study on OpenStack.,2022,13,10.1145/3524842.3527932
An Exploratory Study on Refactoring Documentation in Issues Handling.,2022,5,10.1145/3524842.3528525
How to Refactor this Code? An Exploratory Study on Developer-ChatGPT Refactoring Conversations.,2024,5,10.1145/3643991.3645081
Expertise identification and visualization from CVS.,2008,4,10.1145/1370750.1370780
Automatically generating documentation for lambda expressions in Java.,2019,11,10.1109/MSR.2019.00057
MicroRec: Leveraging Large Language Models for Microservice Recommendation.,2024,12,10.1145/3643991.3644916
ReCover: a Curated Dataset for Regression Testing Research.,2022,5,10.1145/3524842.3528490
A Novel Industry Grade Dataset for Fault Prediction Based on Model-Driven Developed Automotive Embedded Software.,2015,4,10.1109/MSR.2015.72
TestMigrationsInPy: A Dataset of Test Migrations from Unittest to Pytest.,2025,5,10.1109/MSR66628.2025.00122
MUBench: a benchmark for API-misuse detectors.,2016,4,10.1145/2901739.2903506
Investigating next steps in static API-misuse detection.,2019,11,10.1109/MSR.2019.00053
Do software engineers use autocompletion features differently than other developers?,2018,4,10.1145/3196398.3196471
Search-based duplicate defect detection: an industrial experience.,2013,10,10.1109/MSR.2013.6624025
On mining data across software repositories.,2009,4,10.1109/MSR.2009.5069498
Improving the effectiveness of test suite through mining historical data.,2014,10,10.1145/2597073.2597084
Exploring the Security Awareness of the Python and JavaScript Open Source Communities.,2020,5,10.1145/3379597.3387513
